user,community,community_infomap,degree_centrality_undirected,in_degree_centrality_directed,out_degree_centrality_directed,closeness_centrality_undirected,closeness_centrality_directed,betweenness_centrality_undirected,betweenness_centrality_directed,pagerank,stance_score,stance_leaning
goingkronos.bsky.social,4,150,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:ancabmpq63l3byhbzr3qxlyf,4,150,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
jojolego5014.bsky.social,75,9,0.001466275659824047,0.0,0.001466275659824047,0.023782755340309606,0.0,0.0,0.0,0.0008512649162196095,-0.06060878746211529,alcaraz
tennisupdates.bsky.social,75,9,0.010263929618768328,0.010263929618768328,0.001466275659824047,0.027852331999797437,0.011311269375785504,0.004052174437281727,3.660306346109956e-05,0.019409811550262456,-0.008584630707951471,neutral
swissmrs3.bsky.social,50,8,0.002932551319648094,0.001466275659824047,0.001466275659824047,0.0058651026392961885,0.001466275659824047,3.875618484116423e-05,2.1531213800646797e-06,0.0012131268076765046,0.20552588775753974,sinner
did:plc:lo4l4oniybt745yrpxbaoqbf,50,8,0.001466275659824047,0.001466275659824047,0.0,0.004312575470070727,0.0019550342130987292,0.0,0.0,0.0018826471937003237,0.0,neutral
aaronjzach8.bsky.social,5,158,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:sllyqdmxqic5bqssb2ee3htk,5,158,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
eduartmontes.bsky.social,6,7,0.011730205278592375,0.002932551319648094,0.010263929618768328,0.01187683284457478,0.002932551319648094,0.0001507184966045276,2.7990577940840836e-05,0.0021060044085384443,0.006334826536476608,neutral
did:plc:fogt25c2lvrfzcvmibmxaqh7,6,7,0.001466275659824047,0.001466275659824047,0.0,0.006598240469208211,0.0026392961876832845,0.0,0.0,0.00124916032203339,0.0,neutral
papodeteniscast.bsky.social,7,165,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.01742217736598804,neutral
did:plc:pus36pf3iavkldksdlym7to6,7,165,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
did:plc:7dzulgfedlgtu4lxno22sejz,6,7,0.001466275659824047,0.001466275659824047,0.0,0.006598240469208211,0.0026392961876832845,0.0,0.0,0.0010502126191264997,0.0,neutral
did:plc:5ant2prn7faabzcuyx7fkmpu,6,7,0.001466275659824047,0.001466275659824047,0.0,0.006598240469208211,0.0026392961876832845,0.0,0.0,0.00124916032203339,0.0,neutral
mononthemoonz.bsky.social,6,7,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.006598240469208211,0.0019550342130987292,0.0,0.0,0.0010502126191264997,0.0,neutral
carolebouchard.bsky.social,8,1,0.01466275659824047,0.011730205278592375,0.00879765395894428,0.038822615938448504,0.012672811059907833,0.00832827349809018,0.00036172439185086616,0.009896412089719742,0.019263628029758263,neutral
chrisweedon.bsky.social,8,2,0.01466275659824047,0.00439882697947214,0.01466275659824047,0.04572663784502826,0.008870967741935484,0.016604872083058803,0.0002863651435486024,0.00328263678336957,0.04581602584489341,neutral
arielle01.bsky.social,8,1,0.001466275659824047,0.0,0.001466275659824047,0.031346175766556475,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
nawalnadal.bsky.social,15,36,0.001466275659824047,0.0,0.001466275659824047,0.016801075268817203,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
ticktocktennis.bsky.social,15,36,0.002932551319648094,0.002932551319648094,0.0,0.018734884354668392,0.002932551319648094,0.00046938046085410014,0.0,0.0019368505905902947,-0.0241884619418868,neutral
newmexicoman.bsky.social,9,169,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:g62tajye723r3fa4gqw7l7ql,9,169,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
park3.bsky.social,10,35,0.001466275659824047,0.0,0.001466275659824047,0.0026392961876832845,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
cjzero.bsky.social,10,35,0.00439882697947214,0.00439882697947214,0.0,0.004398826979472141,0.004398826979472141,1.2918728280388077e-05,0.0,0.0030224362649609797,0.002773212175816296,neutral
did:plc:63zjpqfhowjsbfl26dipg3e2,8,2,0.001466275659824047,0.001466275659824047,0.0,0.03569805932368404,0.006598240469208212,0.0,0.0,0.0010373381059589188,0.0,neutral
rsalt.bsky.social,11,57,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.0,0.0,0.005623901794836843,-0.32285698410123587,alcaraz
mtennismad.bsky.social,11,57,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.001466275659824047,0.0,0.0,0.005623901794836843,0.0,neutral
dustintransigent.bsky.social,12,170,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:swgxwbir4rrimj57pf75jckf,12,170,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
lgp-netwolf.bsky.social,13,172,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:3dme4pfezlxro2bc6mezyuli,13,172,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
continentaldivide.bsky.social,14,173,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0,0.0008512649162196095,0.0,neutral
did:plc:x4g4laxkmsrczwvnvbbgsm7g,14,173,0.001466275659824047,0.001466275659824047,0.0,0.001466275659824047,0.001466275659824047,0.0,0.0,0.0015749886991333996,0.0,neutral
